sigma mu omega
-111.1111111111111 350 -29.031341521348878 
-107.07070707070706 350 -31.50190574021213 
-103.03030303030303 350 -33.269621098509695 
-98.98989898989899 350 -34.41109975938413 
-94.94949494949495 350 -34.99429345062979 
-90.9090909090909 350 -35.0826471431307 
-86.86868686868686 350 -34.73610228813158 
-82.82828282828282 350 -34.01153322969734 
-78.78787878787878 350 -32.96299000449036 
-74.74747474747474 350 -31.641850201398963 
-70.7070707070707 350 -30.096920300396675 
-66.66666666666666 350 -28.37450567336088 
-62.626262626262616 350 -26.51845950143207 
-58.585858585858574 350 -24.570216556715742 
-54.54545454545453 350 -22.568815498448284 
-50.50505050505049 350 -20.550912005239088 
-46.46464646464645 350 -18.5507842404847 
-42.42424242424241 350 -16.60033159892349 
-38.383838383838366 350 -14.729067286009867 
-34.343434343434325 350 -12.964104965640635 
-30.303030303030283 350 -11.330139425653481 
-26.26262626262624 350 -9.849420910723598 
-22.2222222222222 350 -8.541722407325258 
-18.18181818181816 350 -7.42429865544242 
-14.141414141414117 350 -6.5118348548449045 
-10.101010101010075 350 -5.816381589594957 
-6.060606060606062 350 -5.347269499243129 
-2.0202020202020208 350 -5.110989464588413 
2.0202020202020208 350 -5.110989464588413 
6.060606060606062 350 -5.347269499243129 
10.101010101010104 350 -5.816381589594959 
14.141414141414145 350 -6.51183485484491 
18.181818181818187 350 -7.42429865544243 
22.22222222222223 350 -8.541722407325269 
26.26262626262627 350 -9.84942091072361 
30.30303030303031 350 -11.330139425653494 
34.34343434343435 350 -12.964104965640642 
38.383838383838395 350 -14.72906728600988 
42.424242424242436 350 -16.600331598923507 
46.46464646464648 350 -18.550784240484713 
50.50505050505052 350 -20.550912005239102 
54.54545454545456 350 -22.5688154984483 
58.5858585858586 350 -24.57021655671575 
62.626262626262644 350 -26.518459501432076 
66.66666666666669 350 -28.374505673360893 
70.70707070707073 350 -30.096920300396686 
74.74747474747477 350 -31.641850201398977 
78.78787878787881 350 -32.962990004490365 
82.82828282828285 350 -34.01153322969735 
86.8686868686869 350 -34.73610228813159 
90.90909090909093 350 -35.08264714313071 
94.94949494949498 350 -34.99429345062978 
98.98989898989902 350 -34.41109975938413 
103.03030303030306 350 -33.269621098509695 
107.0707070707071 350 -31.501905740212102 
111.11111111111114 350 -29.031341521348846 
115.15151515151518 350 -25.780247154478854 
119.19191919191923 350 -21.679872805893893 
123.23232323232327 350 -16.660197388214844 
127.27272727272731 350 -10.649500628582663 
131.31313131313135 350 -3.5743865311102736 
135.3535353535354 350 4.640193918187221 
139.39393939393943 350 14.070920756579804 
143.43434343434348 350 24.796083716837465 
147.47474747474752 350 36.89556152719321 
151.51515151515156 350 50.45080180314465 
155.5555555555556 350 65.54480149818083 
159.59595959595964 350 82.26208788319556 
163.63636363636368 350 100.68870002673413 
167.67676767676772 350 120.91217075037075 
171.71717171717177 350 143.02150903543895 
175.7575757575758 350 167.10718285908263 
179.79797979797985 350 193.26110243916648 
183.8383838383839 350 221.57660386902023 
187.87878787878788 350 252.14843312427902 
191.91919191919192 350 285.07273042528067 
195.95959595959596 350 320.4470149395395 
200.0 350 358.370169809829 

-200.0 375 358.370169809829 
-195.95959595959596 375 320.4470149395395 
-191.91919191919192 375 285.07273042528067 
-187.87878787878788 375 252.14843312427902 
-183.83838383838383 375 221.57660386901983 
-179.7979797979798 375 193.2611024391662 
-175.75757575757575 375 167.10718285908223 
-171.7171717171717 375 143.02150903543875 
-167.67676767676767 375 120.91217075037046 
-163.63636363636363 375 100.6887000267338 
-159.59595959595958 375 82.26208788319532 
-155.55555555555554 375 65.54480149818058 
-151.5151515151515 375 50.45080180314438 
-147.47474747474746 375 36.89556152719304 
-143.43434343434342 375 24.796083716837295 
-139.39393939393938 375 14.070920756579657 
-135.35353535353534 375 4.640193918187084 
-131.3131313131313 375 -3.5743865311104073 
-127.27272727272727 375 -10.649500628582699 
-123.23232323232322 375 -16.66019738821489 
-119.19191919191918 375 -21.679872805893947 
-115.15151515151514 375 -25.780507789133402 
-111.1111111111111 375 -29.043265256416813 
-107.07070707070706 375 -31.550557357341074 
-103.03030303030303 375 -33.37506757792785 
-98.98989898989899 375 -34.58462707370797 
-94.94949494949495 375 -35.24341960986537 
-90.9090909090909 375 -35.41248741440779 
-86.86868686868686 375 -35.150009100969086 
-82.82828282828282 375 -34.511472909141624 
-78.78787878787878 375 -33.549792712516044 
-74.74747474747474 375 -32.31538901381518 
-70.7070707070707 375 -30.85624670618331 
-66.66666666666666 375 -29.217956404645754 
-62.626262626262616 375 -27.44374352700923 
-58.585858585858574 375 -25.574487804749673 
-54.54545454545453 375 -23.648734990247203 
-50.50505050505049 375 -21.702701934492797 
-46.46464646464645 375 -19.77027580149411 
-42.42424242424241 375 -17.88300788435879 
-38.383838383838366 375 -16.07010224555177 
